温度_T0,温度_T1,温度_T2,温度_T3,温度_T4,温度_T5,温度_T6,温度_T7,温度_T8,温度_T9,温度_T10,温度_T11,温度_T12,温度_T13,温度_T14,温度_T15,位移_L0,位移_L1,转速_S,热伸长量_ΔL
25.634399,22.238941,22.898056,24.433086,23.33938,23.979705,23.616264,24.458083,23.7561,24.833099,24.720988,24.42367,28.130391,24.300758,18.988105,18.686065,26.529808,7.654337,17990.34283,0.0
28.755496,23.480838,24.785614,26.371577,24.26812,24.170307,23.696333,24.697653,23.640598,25.261956,24.79188,24.435038,31.130943,24.472538,18.958519,18.732806,30.101245,10.293856,17990.14013,0.931918
30.914482,24.625289,25.850292,27.341617,25.101343,24.560252,24.025156,25.112235,23.744307,25.967705,24.906835,24.518607,33.513185,24.8911,19.173685,19.025261,32.907374,11.349664,17989.92806,2.682239
32.075449,25.425988,26.558978,28.042765,25.604244,24.560617,23.994703,25.303832,23.824648,26.665989,25.120189,24.77722,35.45766,25.197657,19.145597,19.14526,34.948195,12.14152,17990.04154,3.931204
32.719379,26.228965,27.000973,28.687623,26.127228,24.710845,24.088207,25.460159,23.916558,27.134183,25.216848,25.05319,36.834653,25.723096,19.170978,19.03855,36.733913,12.405472,17989.46525,5.45297
33.684102,27.027829,27.305021,29.092787,26.462695,24.815794,24.120242,25.580101,23.884596,27.532283,25.292265,25.362481,38.025016,26.257091,19.182934,18.938555,38.264529,12.669424,17989.60431,6.719634
33.692517,27.397756,27.623406,29.406725,26.838243,25.024913,24.334118,25.819328,24.05602,27.807767,25.321287,25.455003,39.266055,26.85325,19.455482,19.675018,39.540042,13.197328,17988.83558,7.467243
34.323633,27.736837,27.972306,29.766939,27.098692,25.022018,24.294831,25.815,24.111874,28.172647,25.420702,25.785454,40.56309,27.228798,19.389702,19.45411,40.815555,13.46128,17989.20163,8.478804
34.649395,28.209859,28.141087,29.859843,27.274859,25.064573,24.392445,25.991614,24.097608,28.353413,25.379613,25.885671,41.681412,27.715913,19.568013,19.628307,41.835966,13.46128,17988.34819,9.499215
34.96059,28.635138,28.520864,30.15684,27.502788,25.111308,24.395648,26.042599,24.235977,28.62563,25.586702,26.142597,42.801569,28.102844,19.442414,19.530196,42.856376,13.725232,17988.5008,10.255673
34.976914,29.293494,28.74969,30.414711,27.715517,25.278871,24.4411,26.147487,24.202923,28.786084,25.637957,26.463263,43.837748,28.638925,19.478014,19.619126,44.131889,13.725232,17987.82633,11.531186
35.855916,29.783167,29.051628,30.573446,27.872387,25.265862,24.511756,26.267326,24.276424,28.994547,25.696459,26.608085,44.802912,29.000944,19.608821,19.853458,44.642095,14.253136,17988.92891,11.513488
35.727652,29.537599,29.125614,30.805346,28.098505,25.420146,24.590339,26.278181,24.308994,29.065739,25.707096,26.892616,45.677976,29.432269,19.720997,19.962284,45.1523,13.989184,17987.93706,12.287645
36.190953,30.216999,29.298315,30.930531,28.148783,25.399441,24.540075,26.331068,24.324863,29.223545,25.836492,27.016515,46.44024,29.751805,19.710664,20.0224,45.662505,14.253136,17987.91925,12.533898
35.849078,30.200881,29.432572,31.011945,28.378464,25.562256,24.667544,26.424073,24.31195,29.243032,25.76472,27.110545,47.163043,30.184201,19.852258,20.081656,46.682916,13.989184,17987.66638,13.818261
36.131208,30.449795,29.607451,31.141966,28.396348,25.497373,24.626669,26.432045,24.365327,29.376754,25.837951,27.250118,47.727144,30.344789,19.880286,20.223044,47.958429,14.253136,17988.03287,14.829822
36.377777,30.80791,29.776336,31.329935,28.523596,25.594943,24.690982,26.469072,24.48307,29.450377,25.900323,27.514137,48.31485,30.650596,19.865037,20.09588,48.723737,14.517088,17987.62409,15.331178
36.747419,31.202262,30.03823,31.464556,28.734742,25.663637,24.730917,26.532087,24.459781,29.478906,25.823943,27.534926,48.833089,30.976879,19.982886,20.293969,48.978839,14.517088,17987.95659,15.58628
37.229686,31.427034,30.143706,31.554922,28.684309,25.599929,24.713935,26.588013,24.544634,29.653892,25.913975,27.595441,49.201745,31.035595,20.01807,20.379708,49.489045,14.517088,17987.21696,16.096486
37.470318,31.653067,30.323133,31.567465,28.788793,25.671541,24.836897,26.689868,24.617733,29.70934,25.94514,27.766819,49.52906,31.31326,20.010283,20.24567,49.744147,14.517088,17987.4805,16.351588
37.217993,31.349888,30.224991,31.554316,28.809566,25.702943,24.811162,26.604576,24.50168,29.673082,25.94508,27.850959,50.025844,31.52826,20.069101,20.186427,49.744147,14.517088,17987.39041,16.351588
37.228447,31.2331,30.313424,31.709946,28.944458,25.705863,24.819865,26.572893,24.459041,29.74809,25.910872,27.940879,50.297625,31.657592,20.20883,20.544987,49.99925,14.517088,17987.52208,16.606691
37.151344,31.207944,30.113543,31.611322,28.768276,25.62504,24.756566,26.624956,24.593726,29.822317,25.949324,27.885205,50.508748,31.65864,20.30053,20.800177,50.254352,14.78104,17987.7453,16.597841
37.2047,31.579759,30.251536,31.709034,28.918599,25.751883,24.814312,26.638399,24.492986,29.737121,25.907031,27.99843,50.809668,31.909791,20.384546,20.739373,49.99925,14.517088,17987.24715,16.606691
37.651367,31.748461,30.289283,31.692501,28.838571,25.664229,24.825948,26.708234,24.669903,29.90399,26.009442,28.083897,50.922834,31.893668,20.331758,20.734909,50.254352,14.517088,17987.21329,16.861793
37.41764,31.736789,30.450975,31.705448,29.007814,25.766939,24.86898,26.649766,24.586319,29.793592,25.972662,28.17407,51.235338,32.074116,20.458213,20.758709,50.254352,14.517088,17987.41604,16.861793
37.433357,31.402763,30.332297,31.694486,28.923943,25.762487,24.897785,26.805426,24.712069,29.886192,25.973611,28.082189,51.270038,32.116025,20.51001,20.91104,50.254352,14.517088,17987.42408,16.861793
37.453083,31.910763,30.517563,31.88554,29.024649,25.748348,24.820684,26.712104,24.703696,29.91823,26.081743,28.229629,51.501267,32.195198,20.555262,21.0077,50.509455,14.517088,17987.31688,17.116896
37.751671,31.740014,30.31581,31.663907,28.880907,25.742445,24.898957,26.821868,24.624576,29.912654,25.988414,28.112144,51.573014,32.227629,20.601948,21.045579,50.509455,14.517088,17987.13975,17.116896
37.637489,31.858829,30.692433,31.871064,29.178145,25.854485,25.030397,26.878167,24.743056,29.946798,26.028575,28.237424,51.745461,32.395484,20.61498,20.809837,50.509455,14.517088,17987.10021,17.116896
37.414251,31.789425,30.388797,31.80149,28.956866,25.706657,24.866208,26.823204,24.731411,29.995234,26.068204,28.234092,51.773164,32.368617,20.647041,21.037592,50.509455,14.517088,17987.08023,17.116896
37.675518,31.496091,30.086724,31.767514,28.831664,25.625979,24.694957,26.590921,24.539611,29.88781,25.942323,28.293868,52.029323,32.39509,20.622296,20.591532,49.99925,14.517088,17987.07972,16.606691
37.461936,31.209417,29.859737,31.464246,28.617922,25.582692,24.72147,26.687652,24.583265,29.835671,25.914287,28.258722,51.970931,32.40217,20.682255,20.738196,49.744147,14.517088,17987.23772,16.351588
37.277724,30.733737,29.745106,31.460882,28.520997,25.570034,24.709296,26.66206,24.601888,29.88605,25.95113,28.238114,51.954579,32.324046,20.706189,20.721314,49.489045,14.517088,17987.58683,16.096486
37.007393,30.827268,29.724127,31.587703,28.665815,25.597567,24.657679,26.554508,24.492573,29.777826,25.920677,28.289363,52.16341,32.366237,20.762283,20.725353,49.233942,14.517088,17987.14339,15.841383
37.115715,31.282812,29.892315,31.657127,28.730648,25.607399,24.693842,26.617102,24.490079,29.84465,26.020275,28.32524,52.175481,32.383419,20.804528,20.759445,49.233942,14.517088,17987.82676,15.841383
37.434713,31.18667,29.784015,31.534299,28.623192,25.549895,24.651448,26.572098,24.466602,29.735784,25.843399,28.227445,52.173759,32.374416,20.818045,20.699871,48.978839,14.253136,17988.01436,15.850232
37.32207,31.111397,29.763688,31.419461,28.596157,25.622589,24.780812,26.6878,24.525413,29.744999,25.895461,28.224807,52.166408,32.408039,20.898674,20.814405,48.978839,14.517088,17987.47639,15.58628
37.227397,30.955771,29.952448,31.608431,28.686192,25.516422,24.585627,26.494675,24.475872,29.83861,25.986602,28.371756,52.209642,32.374615,20.760858,20.486984,48.978839,14.253136,17987.1915,15.850232
37.078298,31.342644,29.956048,31.662341,28.775303,25.64,24.705957,26.59972,24.498395,29.801597,25.956155,28.386593,52.249556,32.459183,20.857777,20.652758,49.233942,14.253136,17987.09761,16.105335
37.436015,31.041219,29.813648,31.520989,28.541611,25.551077,24.647785,26.574749,24.516945,29.801969,26.003654,28.361351,52.265525,32.39872,20.880394,20.617781,49.99925,14.517088,17987.06855,16.606691
37.275264,31.292146,30.008585,31.698397,28.803463,25.60204,24.700337,26.549321,24.479398,29.852187,25.954123,28.365146,52.252565,32.4082,20.909228,20.640381,49.233942,13.989184,17987.20708,16.369287
37.597828,31.747751,30.146833,31.689508,28.77595,25.601045,24.753835,26.744829,24.681237,29.921384,25.998191,28.33086,52.187332,32.451098,20.806069,20.458824,49.233942,14.253136,17987.1134,16.105335
37.611323,31.40803,29.915781,31.616542,28.652905,25.487447,24.564892,26.516671,24.52819,29.86702,26.019043,28.419108,52.30512,32.355747,20.756268,20.258158,48.978839,13.989184,17987.44454,16.114184
37.453463,31.687489,30.226581,31.574096,28.829734,25.631781,24.796776,26.733023,24.591304,29.875248,25.942184,28.345417,52.242418,32.470115,20.898035,20.575239,48.723737,13.989184,17988.07428,15.859082
37.316094,31.183867,30.026393,31.544153,28.723807,25.505945,24.701355,26.651011,24.60339,29.936374,25.999268,28.332449,52.224979,32.364005,20.860643,20.402417,48.723737,13.989184,17987.06688,15.859082
37.185986,31.143422,29.918226,31.615927,28.770329,25.598443,24.775822,26.642499,24.519244,29.782409,25.912907,28.323182,52.271078,32.465692,20.911559,20.428381,48.213531,13.989184,17987.61817,15.348876
37.072163,31.315116,29.862334,31.5584,28.601742,25.51073,24.603968,26.563738,24.569627,29.845769,26.007476,28.351075,52.284026,32.352445,20.844461,20.453983,48.213531,13.725232,17987.19632,15.612828
37.455161,31.319231,29.997786,31.580125,28.644305,25.56913,24.678732,26.589793,24.514218,29.878355,26.056372,28.393033,52.296126,32.395926,20.896491,20.536853,48.978839,13.989184,17986.81677,16.114184
37.202245,31.15746,29.846367,31.515184,28.661503,25.521368,24.658775,26.645903,24.498984,29.873082,25.892185,28.290227,52.24833,32.412853,20.97084,20.673138,48.723737,13.989184,17987.7235,15.859082
37.599216,31.529937,30.008166,31.682965,28.706668,25.511958,24.607578,26.585993,24.55449,29.869805,26.025739,28.386054,52.289741,32.336601,20.935548,20.418958,48.723737,13.989184,17987.90498,15.859082
37.431375,31.589307,30.144782,31.550736,28.735471,25.572504,24.750695,26.674558,24.569768,29.898,25.988265,28.317146,52.247126,32.429701,21.033199,20.752147,48.468634,13.725232,17987.95345,15.867931
37.339986,31.246554,30.182373,31.744427,28.855307,25.650645,24.759335,26.61766,24.616839,29.930101,26.06469,28.405046,52.330181,32.423447,21.084266,20.801149,48.468634,13.725232,17988.09427,15.867931
37.19985,31.741225,30.371041,31.859444,29.018451,25.757059,24.829536,26.708546,24.646566,29.953992,26.103173,28.508025,52.327503,32.536003,21.091416,20.789649,48.213531,13.725232,17987.24029,15.612828
37.395301,31.948634,30.356309,31.748954,28.995491,25.727443,24.863944,26.806554,24.625486,29.918952,26.005888,28.350328,52.364553,32.593349,21.265153,20.962766,48.213531,13.725232,17987.59359,15.612828
37.598055,32.229808,30.539945,31.846629,29.07638,25.822669,24.926583,26.858051,24.786344,29.980177,26.05382,28.428498,52.351516,32.689491,21.192278,20.90188,47.703326,13.46128,17988.53807,15.366575
37.179277,31.789098,30.472751,31.879533,29.191994,25.829506,24.926035,26.771736,24.72726,29.958843,26.086634,28.524241,52.473614,32.761789,21.310686,21.146868,47.193121,13.46128,17988.4876,14.85637
37.358123,31.605204,30.421705,31.721369,29.027078,25.750286,24.952162,26.830351,24.801287,29.98996,26.046261,28.394502,52.365446,32.671243,21.401304,21.361323,46.938018,13.46128,17988.51064,14.601267
37.37475,31.860213,30.40483,31.774088,29.054956,25.771544,24.860308,26.716081,24.660236,29.982911,26.120645,28.63421,52.525798,32.707057,21.285369,21.091421,46.682916,13.46128,17988.49561,14.346165
37.454856,32.135829,30.598172,31.959093,29.155007,25.76375,24.844095,26.744564,24.740335,30.000308,26.146074,28.566062,52.51749,32.759027,21.327923,21.067698,46.427813,13.197328,17988.28957,14.355014
37.01443,31.910656,30.472909,31.83767,29.099218,25.731853,24.838346,26.75949,24.812274,29.99794,26.156305,28.562655,52.498461,32.733034,21.335584,21.189738,46.427813,13.197328,17988.45731,14.355014
37.174888,31.892163,30.44019,31.750348,29.03644,25.772909,24.923609,26.863875,24.813194,29.986447,26.083606,28.457715,52.456427,32.724317,21.498656,21.492993,46.938018,13.46128,17987.72699,14.601267
37.283977,31.641786,30.539305,31.927068,29.171136,25.81508,24.914197,26.782672,24.77035,30.016621,26.174632,28.652844,52.531393,32.833224,21.426015,21.37209,46.682916,13.46128,17987.95745,14.346165
37.146467,31.620839,30.387712,31.740131,29.076485,25.851061,24.962438,26.755074,24.679164,29.971314,26.128507,28.601842,52.62499,32.838121,21.509529,21.332794,46.427813,13.197328,17988.01295,14.355014
37.463057,31.86908,30.363557,31.675112,29.030314,25.812194,24.978507,26.888104,24.801561,29.959512,26.072999,28.490934,52.500497,32.828798,21.593568,21.486953,46.427813,13.197328,17988.00113,14.355014
37.351799,31.832923,30.323591,31.804053,28.983394,25.719586,24.865522,26.829727,24.826109,30.035615,26.173658,28.531756,52.481286,32.765556,21.585233,21.629603,46.427813,13.46128,17987.98239,14.091062
37.036374,31.730492,30.432689,31.767567,29.115738,25.8292,24.977184,26.916507,24.898157,30.004718,26.131368,28.520092,52.460201,32.853999,21.603973,21.497751,45.917608,13.197328,17987.79327,13.844809
37.08843,31.204416,30.161202,31.654905,28.969458,25.903734,25.022326,26.838599,24.80248,29.937387,26.082871,28.59118,52.551617,32.945018,21.686086,21.44954,46.17271,13.46128,17987.75552,13.835959
37.364864,31.889709,30.50212,31.807453,29.098329,25.822672,24.93352,26.779489,24.841918,29.983312,26.185749,28.655498,52.565281,32.84927,21.657695,21.522503,45.917608,13.197328,17987.74679,13.844809
37.415276,31.844142,30.293259,31.758088,28.943597,25.75596,24.913803,26.852699,24.812504,30.04449,26.16124,28.558664,52.454302,32.813495,21.646604,21.410426,45.917608,13.197328,17987.65881,13.844809
36.865108,31.630975,30.293814,31.794243,29.085055,25.806104,24.877936,26.763234,24.739882,29.976679,26.156825,28.691887,52.612727,32.8963,21.674406,21.465822,45.917608,13.197328,17987.66525,13.844809
37.109181,31.145611,30.110347,31.637617,28.842309,25.730889,24.922425,26.844984,24.875851,29.996666,26.106261,28.531948,52.415036,32.777439,21.708652,21.508266,45.662505,13.197328,17987.61798,13.589706
37.136962,31.759297,30.396995,31.607417,29.016558,25.771601,24.960166,26.860269,24.809434,29.957597,26.06833,28.544885,52.47247,32.839413,21.674708,21.397492,45.407402,12.933376,17987.68593,13.598555
37.324117,31.696374,30.264091,31.765077,28.999903,25.76617,24.878248,26.736547,24.780008,29.955736,26.145456,28.687303,52.529356,32.808118,21.635185,21.32916,45.662505,12.933376,17987.61107,13.853658
37.082404,31.693499,30.195227,31.673518,28.903617,25.716224,24.877322,26.822369,24.780506,29.953374,26.100217,28.418026,52.435244,32.774109,21.835591,21.616929,45.407402,12.933376,17987.58981,13.598555
36.883286,31.43295,30.114685,31.585626,28.869921,25.707835,24.877369,26.831571,24.855239,29.976496,26.122879,28.547287,52.404946,32.732699,21.712538,21.447048,45.917608,12.933376,17987.52544,14.108761
37.139922,31.298372,30.14564,31.662622,28.877014,25.712034,24.885021,26.809551,24.760275,29.955825,26.090494,28.534773,52.374986,32.726698,21.742503,21.387481,45.662505,12.933376,17987.73714,13.853658
37.097721,31.30959,30.267151,31.724573,28.978385,25.781686,24.898547,26.711301,24.759041,29.93428,26.133479,28.618215,52.515902,32.757013,21.654618,21.118552,45.662505,13.197328,17987.47878,13.589706
37.222475,31.700549,30.377352,31.730409,28.996131,25.763139,24.876654,26.738271,24.719746,29.995622,26.153132,28.689551,52.463524,32.804342,21.786136,21.538496,45.662505,13.197328,17988.06015,13.589706
